Size,Plain,Auto,AVX
1,1.895e-08,8.84021e-05,3.27e-08
2,2.56e-08,7.01076e-05,4.195e-08
3,3.4e-08,6.29711e-05,4.765e-08
4,4.33e-08,6.06504e-05,5.14e-08
7,7.005e-08,5.94076e-05,8.21e-08
8,7.93e-08,5.9582e-05,6.015e-08
9,8.785e-08,5.96784e-05,6.235e-08
15,1.4315e-07,6.07068e-05,1.0295e-07
16,1.5355e-07,6.07496e-05,5e-08
17,1.638e-07,6.09685e-05,6.88e-08
23,2.207e-07,6.157e-05,1.0915e-07
25,2.383e-07,6.15239e-05,1.356e-07
31,3.005e-07,6.22699e-05,1.139e-07
32,3.0275e-07,6.245e-05,6.915e-08
33,3.1605e-07,6.2573e-05,8.135e-08
63,6.148e-07,6.45918e-05,1.719e-07
64,6.286e-07,6.37161e-05,1.0375e-07
65,6.379e-07,6.38582e-05,1.277e-07
100,9.749e-07,6.55783e-05,1.7115e-07
112,1.0975e-06,6.49394e-05,1.689e-07
120,1.16535e-06,6.46971e-05,1.779e-07
127,1.2346e-06,6.5449e-05,2.3705e-07
128,1.24235e-06,6.5455e-05,1.7785e-07
136,1.321e-06,6.50019e-05,1.941e-07
144,1.4026e-06,6.46186e-05,2.0765e-07
240,2.32985e-06,6.46145e-05,3.2465e-07
256,2.4611e-06,6.46081e-05,3.4405e-07
272,2.6347e-06,6.51133e-05,3.591e-07
500,4.845e-06,6.4605e-05,6.386e-07
512,4.91215e-06,6.51577e-05,6.35e-07
1000,9.6631e-06,6.42921e-05,1.2031e-06
1024,9.8784e-06,6.42794e-05,1.23485e-06
2048,1.97509e-05,6.46728e-05,2.39165e-06
3000,2.89154e-05,6.44655e-05,3.4877e-06
4096,3.94205e-05,6.37904e-05,4.7399e-06
7000,3.5733e-05,6.57985e-05,8.1031e-06
8192,4.18292e-05,6.5033e-05,9.4576e-06
10000,5.09311e-05,6.56917e-05,1.14949e-05
16384,0.000103605,7.09227e-05,1.89203e-05
32768,0.000166642,6.90994e-05,0.000128444
50000,0.00025423,7.34688e-05,0.000128927
65536,0.000343388,7.20898e-05,0.000128409
100000,0.000523753,8.61976e-05,0.000135141
131072,0.000686704,9.13558e-05,0.00014478
262144,0.00137359,8.10241e-05,0.000138634
500000,0.00262009,6.79708e-05,0.000151906
524288,0.00266536,7.44315e-05,0.000154718
1048576,0.00533184,9.73759e-05,0.000164459
