Size,Plain,Auto,AVX
1,8.5e-09,4.87333e-08,1.74e-08
2,1.41667e-08,5.20333e-08,1.73333e-08
4,1.69667e-08,5.79e-08,1.74333e-08
8,2.22e-08,1.90333e-08,1.59e-08
16,3.44333e-08,2.43e-08,2.18333e-08
32,6.49333e-08,3.40333e-08,3.40333e-08
64,1.18e-07,6.94333e-08,6.75667e-08
128,2.762e-07,1.21967e-07,1.23733e-07
256,5.38367e-07,2.29e-07,2.423e-07
512,1.0463e-06,3.66033e-07,4.017e-07
1024,1.71767e-06,6.92667e-07,7.896e-07
2048,3.4757e-06,1.3676e-06,1.54517e-06
3267,5.4149e-06,2.1941e-06,2.49493e-06
4096,6.72543e-06,2.70817e-06,3.06073e-06
8192,1.35402e-05,5.45473e-06,6.13957e-06
16384,2.66494e-05,1.09299e-05,1.25753e-05
29639,4.84056e-05,1.97834e-05,2.29981e-05
32768,5.32127e-05,2.17672e-05,2.53258e-05
65536,0.000106187,4.34844e-05,6.71203e-05
86338,0.000140098,5.75012e-05,6.77466e-05
96731,0.000156909,6.47068e-05,7.18614e-05
131072,0.000213165,8.97697e-05,7.11837e-05
195730,0.00033302,0.000152748,8.69167e-05
236608,0.000414258,0.000197258,7.41867e-05
243621,0.000420398,0.00018656,7.43762e-05
262144,0.000456709,0.000207831,7.55211e-05
380031,0.000683695,0.00028656,7.64348e-05
419326,0.000759355,0.000314721,7.44728e-05
524288,0.000941187,0.000392052,7.31463e-05
585080,0.00102334,0.000435702,7.275e-05
599227,0.00108273,0.000445025,7.2218e-05
654289,0.001094,0.00050623,7.00805e-05
654390,0.00109168,0.000508231,7.00463e-05
762630,0.00127275,0.000593207,6.83185e-05
769255,0.00128223,0.000599862,7.00419e-05
769382,0.00128422,0.000598817,6.86301e-05
890615,0.00148833,0.000691319,7.26852e-05
976314,0.00163074,0.000760458,7.36329e-05
1048576,0.00175669,0.00081543,7.55673e-05
1221504,0.00204469,0.000950112,7.88129e-05
1225344,0.00205115,0.000955568,7.63928e-05
1276085,0.00213806,0.000999167,7.76138e-05
1399676,0.00234536,0.00108932,7.87461e-05
1536633,0.00271614,0.00120519,8.21336e-05
1570936,0.00264875,0.00123361,8.184e-05
1677139,0.00282619,0.00131501,8.71731e-05
1811709,0.00305946,0.00142377,8.69543e-05
1869959,0.003159,0.00147071,8.90445e-05
1912897,0.00350587,0.00150993,8.99189e-05
1926230,0.00353335,0.00145938,9.08019e-05
2097152,0.00353037,0.00162345,9.34181e-05
2200989,0.00372405,0.00172327,9.1593e-05
2201065,0.00370203,0.00171343,9.18816e-05
2503372,0.0042742,0.0019897,9.97096e-05
2510956,0.00427158,0.00199633,9.99282e-05
2521260,0.00426601,0.00201252,9.96473e-05
2565460,0.00439486,0.00203587,0.00010155
2566298,0.00434755,0.00203432,0.000101415
2589906,0.00441085,0.00203618,0.000101582
2730025,0.00471733,0.00219534,0.000103201
2969872,0.00517253,0.00247972,0.00010917
3028283,0.00523719,0.00250907,0.000106134
3070206,0.00526068,0.00250886,0.000107369
3270262,0.00572484,0.00276473,0.000115478
3340944,0.00591594,0.0030106,0.000115911
3491518,0.00624149,0.00319598,0.000115854
3633007,0.00657415,0.00332745,0.000116181
3936576,0.00714526,0.00367342,0.000123745
3987585,0.00726634,0.00375973,0.000125832
4068097,0.00746704,0.00384461,0.000127562
4084227,0.0073854,0.00389794,0.000137698
4161637,0.00763001,0.00401517,0.000128844
4194304,0.00763708,0.00404298,0.000129144
