Size,Plain,Auto,AVX
1,3.3e-08,7.19e-08,7.43e-08
2,2.95e-08,6.6e-08,3.2e-08
4,3.27e-08,8.12e-08,3.23e-08
8,4.46e-08,3.59e-08,3.07e-08
16,6.8e-08,4.52e-08,3.89e-08
32,1.131e-07,5.94e-08,5.84e-08
64,2.006e-07,9.4e-08,9.41e-08
128,3.789e-07,1.793e-07,1.749e-07
256,7.324e-07,3.288e-07,3.32e-07
512,1.4329e-06,6.319e-07,6.229e-07
1024,2.8143e-06,1.2239e-06,1.2013e-06
2048,5.5898e-06,2.4086e-06,2.3678e-06
4096,1.17831e-05,4.789e-06,4.692e-06
8192,2.24219e-05,9.6828e-06,9.8838e-06
16384,4.52941e-05,2.00307e-05,1.99939e-05
26132,7.16224e-05,3.2783e-05,3.20052e-05
32768,9.11576e-05,4.08798e-05,4.17015e-05
65536,0.000183803,8.47248e-05,6.07835e-05
131072,0.00037024,0.000170873,5.5307e-05
237106,0.000668475,0.000310052,5.4333e-05
262144,0.000738661,0.000342919,5.59025e-05
524288,0.00147953,0.000687125,7.39125e-05
690702,0.0019506,0.000903398,8.7223e-05
773847,0.00218325,0.00101432,8.8681e-05
1048576,0.00295867,0.00136922,0.000113717
1565840,0.00442413,0.00243439,0.000141116
1892859,0.00534144,0.00247118,0.000161397
1948963,0.00549901,0.00254682,0.00016466
2097152,0.00592001,0.00274054,0.000176518
3040248,0.00872352,0.0041068,0.000237254
3354602,0.00970243,0.00475548,0.00128687
4194304,0.0125798,0.00671843,0.000299948
4680638,0.0142685,0.00790028,0.000338372
4793815,0.0146489,0.00821453,0.000338957
5234308,0.0161979,0.0095564,0.000463102
5235117,0.0162581,0.00924302,0.000369942
6101034,0.0191652,0.011384,0.000638207
6154035,0.0194172,0.0118972,0.000611293
6155051,0.0193539,0.0114904,0.000624137
7124919,0.0226218,0.0140327,0.00111092
7810511,0.024908,0.0158005,0.00176111
8388608,0.0267839,0.0171836,0.00221315
9772029,0.0312693,0.0203776,0.0030629
9802748,0.0313883,0.0203164,0.00346371
10208676,0.032794,0.0215308,0.00359408
11197403,0.0359539,0.0237007,0.00443678
12293064,0.0394062,0.0259527,0.00471962
12567481,0.0403274,0.0267005,0.00828662
13417108,0.0429998,0.0284227,0.0106236
14493670,0.0466601,0.0307887,0.0101521
14959665,0.0481995,0.0319312,0.0104433
15303170,0.0492616,0.0325461,0.0107634
15409836,0.0495104,0.0328863,0.0110268
16777216,0.0602496,0.0452164,0.0121827
17607905,0.0640663,0.0374988,0.00820209
17608516,0.0570295,0.047315,0.00730525
20026969,0.0641973,0.0424725,0.00839595
20087646,0.0647809,0.0426176,0.00830808
20170073,0.0649597,0.0428102,0.00806663
20523675,0.0659187,0.0436226,0.00820321
20530377,0.0660169,0.0435394,0.00833919
20719242,0.0665376,0.0440384,0.00824796
21840194,0.0700603,0.0465074,0.0110284
23758974,0.0763532,0.0505901,0.0105103
24226259,0.0778419,0.0514267,0.00998664
24561641,0.0792421,0.0522249,0.0098785
26162089,0.0839563,0.0554085,0.0107298
26727548,0.0858931,0.0569689,0.0106353
27932140,0.0898884,0.0594346,0.0113825
29064049,0.0929013,0.0614018,0.0126293
31492604,0.10114,0.0660863,0.0128066
31900679,0.102172,0.0669814,0.0136099
32544775,0.10439,0.0684196,0.0130814
32673814,0.104404,0.0685081,0.0131476
33293096,0.106693,0.0700873,0.0130177
33554432,0.107776,0.0787065,0.0135571
