Size,Plain,Auto,AVX
1,4.78e-08,4.44638e-05,5.62e-08
2,6.38e-08,4.7336e-05,5.4e-08
4,6.9e-08,4.12148e-05,5.4e-08
8,8.62e-08,4.3278e-05,5.52e-08
16,1.248e-07,4.08344e-05,6.26e-08
32,1.896e-07,4.34254e-05,8.34e-08
64,3.456e-07,4.28882e-05,1.32e-07
128,6.39e-07,7.89022e-05,2.294e-07
256,1.2504e-06,4.30154e-05,4.162e-07
512,2.4438e-06,4.17778e-05,7.948e-07
1024,4.8146e-06,4.19632e-05,1.5486e-06
2048,9.5528e-06,4.12514e-05,3.0276e-06
3267,1.52926e-05,4.20116e-05,4.8298e-06
4096,1.91916e-05,4.14028e-05,6.0108e-06
8192,3.8212e-05,4.28476e-05,1.24222e-05
16384,7.81328e-05,4.20066e-05,2.49372e-05
29639,0.000156532,5.08642e-05,4.59658e-05
32768,0.00015527,8.62406e-05,6.26852e-05
65536,0.000208358,4.85974e-05,7.34654e-05
86338,0.000299048,4.82018e-05,7.38106e-05
96731,0.000314857,7.25482e-05,5.31186e-05
131072,0.000370411,8.1045e-05,5.40122e-05
195730,0.000552216,6.28418e-05,5.65664e-05
236608,0.000667653,5.5363e-05,0.000122062
243621,0.000688216,0.000113301,7.06074e-05
262144,0.000740858,7.12748e-05,5.84052e-05
380031,0.00107406,6.62512e-05,6.84442e-05
419326,0.00118575,6.64576e-05,6.82672e-05
524288,0.00164195,7.44454e-05,7.38184e-05
585080,0.00165393,8.14448e-05,7.8331e-05
599227,0.00169489,0.000110564,0.000448891
654289,0.0018502,0.000100801,8.59956e-05
654390,0.00185192,0.00101976,8.63256e-05
762630,0.00215793,9.62304e-05,9.55476e-05
769255,0.00217505,9.34718e-05,9.50938e-05
769382,0.00217612,9.33598e-05,0.000120056
890615,0.00251957,0.000103396,0.000101785
976314,0.0027599,0.000108243,0.000108809
1048576,0.00296392,0.000135545,0.000147131
1221504,0.00345126,0.000122983,0.000125906
1225344,0.00346602,0.000130042,0.000145652
1276085,0.00360997,0.000125198,0.000129334
1399676,0.00395891,0.000132706,0.000161064
1536633,0.00434532,0.000141924,0.00014835
1570936,0.00444409,0.00014587,0.000148976
1677139,0.00474297,0.000154175,0.000221063
1811709,0.00512589,0.000160062,0.000164377
1869959,0.0052914,0.000166765,0.000236768
1912897,0.00541058,0.000167016,0.000169335
1926230,0.00545222,0.000166309,0.000199524
2097152,0.00593076,0.000177267,0.000183295
2200989,0.00622686,0.000185629,0.00018719
2201065,0.00622745,0.000183361,0.000192503
2503372,0.00708234,0.000205353,0.000776115
2510956,0.00712065,0.000202887,0.000207312
2521260,0.00713661,0.000214484,0.000222956
2565460,0.00727437,0.00147757,0.000213509
2566298,0.00729913,0.000211294,0.000214605
2589906,0.00736175,0.000210537,0.000215069
2730025,0.00774575,0.000286693,0.000246353
2969872,0.0085301,0.000235922,0.000239389
3028283,0.00868609,0.000239736,0.000247324
3070206,0.00885979,0.000242448,0.000245029
3270262,0.00958543,0.000277893,0.000255982
3340944,0.00968691,0.000259665,0.000387457
3491518,0.0102853,0.000261774,0.000277793
3633007,0.0107421,0.000278382,0.000277254
3936576,0.0117494,0.000301242,0.000299284
3987585,0.0119173,0.000307549,0.00030157
4068097,0.0125323,0.000334582,0.000339003
4084227,0.0122692,0.000419139,0.000334373
4161637,0.0124984,0.000312366,0.000310564
4194304,0.0126086,0.000317718,0.00031262
