Size,Plain,Auto,AVX
1,1.48e-08,3.98387e-05,4.58667e-08
2,3.52333e-08,3.9655e-05,4.66333e-08
4,4.77667e-08,4.00975e-05,4.66e-08
8,5.95667e-08,4.06217e-05,4.6e-08
16,9.82333e-08,4.15062e-05,5.70667e-08
32,1.748e-07,4.26546e-05,7.88667e-08
64,3.228e-07,4.30099e-05,1.243e-07
128,6.27167e-07,4.20972e-05,2.19667e-07
256,1.22747e-06,4.17581e-05,4.10033e-07
512,2.44173e-06,4.19557e-05,7.81267e-07
1024,4.7764e-06,4.19631e-05,1.53187e-06
2048,5.57837e-06,4.12879e-05,3.01773e-06
3267,8.9027e-06,4.22998e-05,4.81043e-06
4096,1.11541e-05,4.21662e-05,5.99857e-06
8192,2.25152e-05,4.27136e-05,9.99007e-06
16384,4.4952e-05,4.31436e-05,2.00916e-05
29639,8.19874e-05,4.35743e-05,3.68809e-05
32768,9.07474e-05,4.36497e-05,4.08933e-05
65536,0.000183721,4.39414e-05,5.16809e-05
86338,0.000242667,4.53338e-05,5.21096e-05
96731,0.000273035,4.58462e-05,5.2166e-05
131072,0.000370119,4.72481e-05,5.35222e-05
195730,0.000553367,5.12209e-05,5.56431e-05
236608,0.00066951,5.35437e-05,5.68249e-05
243621,0.000688574,5.40436e-05,5.68627e-05
262144,0.000741993,5.52154e-05,5.74067e-05
380031,0.0010765,6.18363e-05,6.73108e-05
419326,0.00118747,6.43326e-05,6.83165e-05
524288,0.00148786,7.09904e-05,7.51301e-05
585080,0.00166206,7.52274e-05,7.64494e-05
599227,0.00169927,7.68088e-05,7.72094e-05
654289,0.00185676,7.89785e-05,8.07295e-05
654390,0.00185675,7.7744e-05,8.10801e-05
762630,0.00216418,8.5757e-05,9.42972e-05
769255,0.00218315,8.66216e-05,9.41035e-05
769382,0.00218298,8.68006e-05,9.45001e-05
890615,0.00252713,9.47099e-05,9.90735e-05
976314,0.0027723,9.87753e-05,0.0001032
1048576,0.00297825,0.000103752,0.000114176
1221504,0.00347035,0.000114656,0.000122476
1225344,0.00347885,0.000114532,0.000122708
1276085,0.00362395,0.000118968,0.000123989
1399676,0.00397475,0.000125328,0.000138367
1536633,0.00436445,0.000135337,0.000144653
1570936,0.00448788,0.000138212,0.000145452
1677139,0.00478568,0.000144186,0.000160275
1811709,0.00517528,0.000151724,0.000163619
1869959,0.00534098,0.00015614,0.000164585
1912897,0.00548381,0.000159568,0.000165285
1926230,0.00549638,0.000162155,0.000167449
2097152,0.00599225,0.000172125,0.000181435
2200989,0.00628478,0.000176477,0.000184895
2201065,0.00627322,0.000177007,0.000185475
2503372,0.00713232,0.000193784,0.000204183
2510956,0.00717079,0.000197724,0.000204549
2521260,0.00720164,0.000197334,0.000205754
2565460,0.00732123,0.000198786,0.000207035
2566298,0.00731967,0.000199535,0.00020617
2589906,0.00737945,0.000201166,0.000206785
2730025,0.00779201,0.000208222,0.000220875
2969872,0.00853429,0.000223585,0.000234965
3028283,0.00868725,0.00023246,0.000240788
3070206,0.00882341,0.000235189,0.000241839
3270262,0.00949692,0.000249214,0.000247964
3340944,0.00969001,0.000255408,0.000259409
3491518,0.0101884,0.000251934,0.000263836
3633007,0.0107271,0.000267312,0.000276582
3936576,0.0118466,0.000286939,0.000294883
3987585,0.0119947,0.000288989,0.000299717
4068097,0.0123503,0.00030516,0.000309014
4084227,0.0123498,0.000305109,0.000305867
4161637,0.0126655,0.000301986,0.000312161
4194304,0.0127089,0.000311699,0.000306473
