Size,Plain,Auto,AVX
1,7.9e-09,4.845e-08,1.85e-08
2,1.245e-08,5.205e-08,1.85e-08
3,1.975e-08,5.49e-08,1.905e-08
4,2.35e-08,5.8e-08,1.845e-08
7,3.59e-08,6.7e-08,1.85e-08
8,4.265e-08,1.935e-08,1.65e-08
9,4.795e-08,5.6e-08,2.555e-08
15,8.165e-08,7.4e-08,2.54e-08
16,8.425e-08,2.385e-08,2.245e-08
17,8.98e-08,5.9e-08,3.14e-08
23,1.212e-07,7.73e-08,3.205e-08
25,1.3135e-07,6.24e-08,3.77e-08
31,1.614e-07,8.065e-08,3.765e-08
32,1.691e-07,3.475e-08,3.44e-08
33,1.704e-07,6.595e-08,4.28e-08
63,3.4315e-07,9.675e-08,6.14e-08
64,3.4285e-07,5.82e-08,5.89e-08
65,3.4755e-07,8.03e-08,6.72e-08
100,5.293e-07,1.0785e-07,8.81e-08
112,5.9975e-07,9.145e-08,9.415e-08
120,6.348e-07,9.285e-08,9.97e-08
127,6.722e-07,1.3425e-07,1.0905e-07
128,6.769e-07,1.023e-07,1.0535e-07
136,7.18e-07,1.0615e-07,1.115e-07
144,7.6095e-07,1.1115e-07,1.165e-07
240,1.26795e-06,1.789e-07,1.9395e-07
256,1.34775e-06,1.903e-07,2.0655e-07
272,1.43345e-06,2.0015e-07,2.2465e-07
500,2.63575e-06,3.9315e-07,4.1025e-07
512,2.69075e-06,3.59e-07,4.134e-07
1000,5.2397e-06,6.65e-07,7.761e-07
1024,5.3609e-06,6.8425e-07,7.8965e-07
2048,1.07307e-05,1.3585e-06,1.54455e-06
3000,1.57148e-05,1.96755e-06,2.28655e-06
4096,2.14519e-05,2.678e-06,3.06195e-06
7000,3.66487e-05,4.6011e-06,5.36545e-06
8192,4.29042e-05,5.42665e-06,6.14005e-06
10000,5.32233e-05,6.59395e-06,7.561e-06
16384,8.5901e-05,1.08928e-05,1.25571e-05
32768,0.000172191,2.19221e-05,9.05692e-05
50000,0.000261971,3.34589e-05,9.93164e-05
65536,0.000343429,4.4064e-05,0.000123464
100000,0.000524756,6.83849e-05,0.000126958
131072,0.000687726,9.03603e-05,0.000127276
262144,0.00137584,0.000198478,9.08757e-05
500000,0.00254156,0.000380593,8.54864e-05
524288,0.00266594,0.000399643,8.91502e-05
1048576,0.00533279,0.000820912,8.42252e-05
