Size,Plain,Auto,AVX
1,6.985e-08,3.0905e-06,9.08e-08
2,7.33e-08,3.122e-06,9.43e-08
4,7.335e-08,3.27215e-06,9.43e-08
8,9.43e-08,3.5131e-06,7.335e-08
16,1.432e-07,3.83435e-06,9.425e-08
32,2.34e-07,3.71215e-06,9.425e-08
64,4.0505e-07,3.7226e-06,9.43e-08
128,7.438e-07,3.79245e-06,1.432e-07
256,1.40385e-06,3.7855e-06,1.886e-07
512,2.7448e-06,3.79595e-06,3.108e-07
1024,5.61185e-06,3.72955e-06,5.413e-07
2048,1.09199e-05,3.8064e-06,9.8475e-07
4096,2.16792e-05,3.97405e-06,1.88225e-06
5637,2.96936e-05,4.00895e-06,2.60165e-06
8192,3.44848e-05,4.8401e-06,3.8204e-06
9567,3.49423e-05,5.25215e-06,4.45945e-06
16384,5.90729e-05,5.9401e-06,7.75255e-06
23805,8.57737e-05,6.45695e-06,7.4208e-06
27079,9.80172e-05,7.15535e-06,7.46265e-06
32768,0.000117905,7.13445e-06,7.4941e-06
35548,0.000127889,7.60585e-06,8.27635e-06
63666,0.000229443,1.12971e-05,9.8513e-06
65536,0.00023574,1.12237e-05,9.984e-06
68893,0.00024688,1.0871e-05,1.03681e-05
71424,0.000255718,1.1744e-05,1.01168e-05
72883,0.000261763,1.21422e-05,9.97355e-06
92343,0.000332779,1.334e-05,1.03123e-05
102433,0.000368228,1.57216e-05,1.36927e-05
107901,0.000386568,1.48381e-05,1.35774e-05
131072,0.000471417,1.87981e-05,1.60952e-05
135191,0.000486897,1.98667e-05,1.60848e-05
151709,0.000546319,1.98877e-05,1.61232e-05
194264,0.000697386,2.44938e-05,1.73664e-05
195081,0.000700619,2.40294e-05,1.79636e-05
219724,0.000789295,2.57265e-05,2.51084e-05
224930,0.000805851,2.73818e-05,2.14243e-05
237996,0.000854137,2.88869e-05,2.56323e-05
250366,0.000925575,3.06365e-05,2.56882e-05
251794,0.000921832,3.07413e-05,2.53738e-05
253974,0.000933471,2.97495e-05,2.59885e-05
259813,0.000929651,3.07936e-05,2.40818e-05
262144,0.000938769,3.02209e-05,2.67567e-05
270955,0.000972146,3.21905e-05,2.64878e-05
277249,0.000992198,3.28016e-05,2.70361e-05
283773,0.0010168,3.87592e-05,2.45776e-05
298228,0.00106775,3.50889e-05,3.08041e-05
298589,0.00106787,3.4841e-05,3.03676e-05
308877,0.00110746,3.89617e-05,3.18657e-05
315227,0.00112785,3.94856e-05,3.39121e-05
316116,0.00113319,4.25726e-05,3.56337e-05
325224,0.00117108,4.10012e-05,3.67023e-05
342374,0.00122394,4.28904e-05,3.63252e-05
347731,0.00124552,4.08789e-05,3.6161e-05
373746,0.00133913,4.9721e-05,3.93144e-05
376764,0.00134893,5.02763e-05,3.86474e-05
393191,0.00140993,5.36147e-05,3.94052e-05
416137,0.00148785,5.11528e-05,4.71613e-05
420419,0.00150448,5.53224e-05,4.55165e-05
423849,0.0015171,5.57344e-05,4.49228e-05
434476,0.00155365,6.02707e-05,4.44479e-05
442069,0.00158041,6.22578e-05,4.55409e-05
447624,0.00160236,6.45136e-05,4.51253e-05
460313,0.00164735,6.69826e-05,4.66444e-05
487050,0.00174969,7.21579e-05,5.05905e-05
502168,0.00181052,7.65824e-05,5.22109e-05
508565,0.00182521,7.80003e-05,5.34017e-05
510191,0.00183686,7.93727e-05,5.50395e-05
515017,0.00184451,7.6977e-05,5.58776e-05
524288,0.00188483,8.10384e-05,5.63874e-05
552051,0.0019821,8.83824e-05,5.63595e-05
553846,0.00198188,8.72928e-05,5.83326e-05
556997,0.00199439,8.75547e-05,5.71697e-05
571679,0.00204208,9.22097e-05,5.89786e-05
594059,0.00212399,9.4546e-05,6.33787e-05
599664,0.00215021,9.74689e-05,6.34835e-05
603827,0.00216866,9.52723e-05,6.55194e-05
616335,0.00221306,9.95118e-05,6.57813e-05
633101,0.00227458,0.000100245,6.83061e-05
634199,0.00227286,0.000101576,6.81909e-05
664897,0.00237588,0.000116979,9.26707e-05
674246,0.00242704,0.000108783,7.15468e-05
680772,0.00243242,0.000112737,7.17843e-05
699968,0.002543,0.000113138,7.43266e-05
703320,0.00251901,0.000113327,7.72006e-05
705525,0.00252285,0.000117524,7.79828e-05
712691,0.00254864,0.000116791,7.79164e-05
722589,0.00259109,0.000122637,8.07101e-05
760892,0.00272074,0.000123625,8.6989e-05
763117,0.00274106,0.000118387,7.83739e-05
774592,0.00277342,0.000127309,8.43175e-05
777140,0.00278001,0.000128713,8.30953e-05
784455,0.00281161,0.000127295,8.37029e-05
784641,0.00281432,0.000129928,8.53268e-05
789817,0.002844,0.000140467,8.99783e-05
797478,0.00286727,0.00013627,9.32958e-05
808418,0.00292102,0.000132722,8.85011e-05
817463,0.00293047,0.00013157,9.00272e-05
825334,0.00296284,0.000134031,9.2077e-05
843523,0.0030248,0.000138494,9.58451e-05
844176,0.00303381,0.000138205,9.5433e-05
846331,0.00303512,0.000138369,9.83035e-05
877489,0.00314818,0.00014383,9.48917e-05
891173,0.00320063,0.000145311,0.000108085
912066,0.00327979,0.000148101,0.000104397
915979,0.00328552,0.000146512,0.000105483
938782,0.00337063,0.000148045,0.000106863
946578,0.00339877,0.000149956,0.000106597
949518,0.00341551,0.000152201,0.000111102
970752,0.00348842,0.000153776,0.000110959
975138,0.00350599,0.000159262,0.000116931
979529,0.00352901,0.000159566,0.000115824
981179,0.00352658,0.000154747,0.000109408
996729,0.00357988,0.000159835,0.000118586
1007326,0.00363222,0.000163924,0.000122438
1011915,0.00364094,0.000168485,0.00012256
1048576,0.00378004,0.000165848,0.000122102
1054743,0.00379382,0.000168115,0.000121778
1061596,0.00381101,0.000166728,0.000122993
1093764,0.00393162,0.000174006,0.000129879
1094432,0.00394303,0.000174715,0.000127596
1094442,0.00393527,0.000171341,0.000130368
1099448,0.00395708,0.000175088,0.000127274
1123115,0.00404202,0.000180156,0.000128263
1135644,0.00410005,0.000179276,0.000131692
1137648,0.00411431,0.000184765,0.000130962
1147510,0.00414069,0.000185327,0.00013443
1161914,0.00419288,0.000184154,0.000130372
1170529,0.00421819,0.000187004,0.000138756
1170536,0.00422237,0.000186494,0.000137726
1185648,0.00426429,0.000188498,0.000135264
1189008,0.0042731,0.000187999,0.000134664
1232090,0.00442695,0.00019403,0.000142507
1264719,0.00454616,0.000201206,0.000144435
1279527,0.00461251,0.000196942,0.00014726
1287922,0.00465107,0.000201852,0.00014544
1292627,0.0046638,0.000209465,0.000145604
1310197,0.00471672,0.000224677,0.000150081
