Size,Auto_Speedup,AVX_Speedup
1,0.174419,0.488506
2,0.272261,0.817308
4,0.293034,0.973231
8,1.16637,1.39623
16,1.41701,1.5771
32,1.90793,1.90793
64,1.69947,1.74642
128,2.26455,2.23222
256,2.35095,2.2219
512,2.85848,2.60468
1024,2.47979,2.17536
2048,2.54146,2.2494
3267,2.46794,2.17036
4096,2.48339,2.19733
8192,2.48228,2.20539
16384,2.43821,2.11919
29639,2.44678,2.10476
32768,2.44463,2.10113
65536,2.44195,1.58203
86338,2.43644,2.06798
96731,2.42493,2.1835
131072,2.37457,2.99457
195730,2.1802,3.83149
236608,2.10008,5.58399
243621,2.25342,5.65232
262144,2.1975,6.04744
380031,2.38587,8.9448
419326,2.41279,10.1964
524288,2.40067,12.8672
585080,2.34871,14.0665
599227,2.43297,14.9926
654289,2.16107,15.6106
654390,2.148,15.5851
762630,2.14555,18.6297
769255,2.13754,18.3066
769382,2.1446,18.7123
890615,2.15288,20.4763
976314,2.14441,22.1469
1048576,2.15431,23.2467
1221504,2.15205,25.9436
1225344,2.14653,26.8501
1276085,2.13984,27.5474
1399676,2.15306,29.7838
1536633,2.2537,33.0697
1570936,2.14716,32.365
1677139,2.14919,32.4204
1811709,2.14885,35.1847
1869959,2.14794,35.4766
1912897,2.32188,38.9892
1926230,2.42113,38.9127
2097152,2.17461,37.791
2200989,2.16103,40.6587
2201065,2.1606,40.2913
2503372,2.14816,42.8665
2510956,2.13972,42.7464
2521260,2.11973,42.8111
2565460,2.15872,43.2777
2566298,2.1371,42.8688
2589906,2.16624,43.4215
2730025,2.14879,45.7102
2969872,2.08593,47.3806
3028283,2.0873,49.345
3070206,2.09684,48.9962
3270262,2.07067,49.5753
3340944,1.96504,51.0386
3491518,1.95292,53.8737
3633007,1.97573,56.5853
3936576,1.94513,57.7419
3987585,1.93268,57.7462
4068097,1.94221,58.5366
4084227,1.8947,53.6349
4161637,1.90029,59.2188
4194304,1.88897,59.1361
