Size,Auto_Speedup,AVX_Speedup
1,0.458971,0.444145
2,0.44697,0.921875
4,0.402709,1.01238
8,1.24234,1.45277
16,1.50442,1.74807
32,1.90404,1.93664
64,2.13404,2.13177
128,2.11322,2.16638
256,2.22749,2.20602
512,2.26761,2.30037
1024,2.29945,2.34271
2048,2.32077,2.36076
4096,2.46045,2.51132
8192,2.31564,2.26855
16384,2.26123,2.2654
26132,2.18474,2.23784
32768,2.22989,2.18595
65536,2.16942,3.0239
131072,2.16676,6.69427
237106,2.15601,12.3033
262144,2.15404,13.2134
524288,2.15322,20.0173
690702,2.15918,22.3633
773847,2.15243,24.6192
1048576,2.16085,26.0178
1565840,1.81734,31.3509
1892859,2.16149,33.0951
1948963,2.15917,33.3962
2097152,2.16016,33.5377
3040248,2.12417,36.7687
3354602,2.04027,7.53953
4194304,1.87242,41.9397
4680638,1.80608,42.1682
4793815,1.7833,43.2178
5234308,1.69498,34.9769
5235117,1.75896,43.9476
6101034,1.68352,30.0297
6154035,1.63209,31.7641
6155051,1.68436,31.0091
7124919,1.61208,20.3631
7810511,1.57641,14.1433
8388608,1.55868,12.1022
9772029,1.53449,10.209
9802748,1.54498,9.06206
10208676,1.52312,9.12444
11197403,1.517,8.10359
12293064,1.51838,8.34946
12567481,1.51036,4.86657
13417108,1.51287,4.04759
14493670,1.51549,4.59612
14959665,1.50948,4.61535
15303170,1.51359,4.57677
15409836,1.5055,4.48999
16777216,1.33247,4.94552
17607905,1.70849,7.81097
17608516,1.20532,7.80665
20026969,1.5115,7.64622
20087646,1.52005,7.79733
20170073,1.51739,8.05289
20523675,1.51112,8.03572
20530377,1.51625,7.91646
20719242,1.5109,8.06716
21840194,1.50643,6.35273
23758974,1.50925,7.26458
24226259,1.51365,7.79461
24561641,1.51732,8.02167
26162089,1.51522,7.82458
26727548,1.50772,8.0762
27932140,1.51239,7.89705
29064049,1.51301,7.35599
31492604,1.53042,7.89751
31900679,1.52538,7.50718
32544775,1.52573,7.98
32673814,1.52396,7.94092
33293096,1.52228,8.19595
33554432,1.36934,7.94978
