Size,Auto_Speedup,AVX_Speedup
1,0.000136483,0.223433
2,0.000514648,0.854396
4,0.000567702,0.950775
8,0.000811754,1.38073
16,0.00117993,1.7926
32,0.00201033,2.12418
64,0.00367862,2.56274
128,0.00706991,2.77821
256,0.0139953,2.67864
512,0.0277029,2.82667
1024,0.0548969,2.89404
2048,0.108879,2.92943
3267,0.173919,2.92765
4096,0.217425,2.94279
8192,0.203417,1.37487
16384,0.407393,1.3623
29639,0.734871,2.085
32768,0.816759,2.09422
65536,1.62254,1.50659
86338,2.16105,1.95477
96731,2.44787,2.18969
131072,3.24123,2.90505
195730,4.80006,4.29451
236608,5.83968,5.22864
243621,5.99679,5.4037
262144,6.37887,5.7909
380031,6.39343,6.35627
419326,7.95577,9.72186
524288,9.19844,10.0958
585080,15.5798,15.1601
599227,11.4604,13.2588
654289,12.7357,15.0583
654390,12.0666,14.9802
762630,15.9359,19.3781
769255,16.3501,19.5771
769382,16.1767,19.6428
890615,17.4697,20.898
976314,18.1737,22.7492
1048576,18.8312,24.3263
1221504,23.9223,27.9576
1225344,23.7042,28.1667
1276085,20.1837,28.9924
1399676,25.3508,29.351
1536633,22.5403,32.8589
1570936,28.0772,33.1595
1677139,23.5503,34.5976
1811709,38.5552,35.2736
1869959,22.8681,36.2316
1912897,22.9733,36.8694
1926230,23.5565,37.8756
2097152,27.7163,40.1663
2200989,25.3754,41.4748
2201065,42.7889,41.403
2503372,24.7416,43.0212
2510956,29.2237,43.441
2521260,25.9741,43.5038
2565460,25.8679,44.3001
2566298,24.981,44.544
2589906,25.5943,44.8201
2730025,29.1072,47.6936
2969872,53.6792,52.9747
3028283,43.3155,51.0076
3070206,50.452,50.717
3270262,29.9636,51.8254
3340944,28.5733,51.8101
3491518,31.4289,53.8333
3633007,38.8666,56.2999
3936576,60.3345,58.709
3987585,48.9237,57.7583
4068097,32.5897,59.4907
4084227,35.8786,58.9493
4161637,33.0023,59.5137
4194304,62.3224,59.8403
