Size,Auto_Speedup,AVX_Speedup
1,0.000140416,0.23989
2,0.000520478,0.855179
4,0.000578904,0.961433
8,0.000826629,1.39276
16,0.00119005,1.80488
32,0.00203318,2.12077
64,0.0037024,2.55435
128,0.00720069,2.7737
256,0.0142058,2.68259
512,0.0279859,2.82126
1024,0.0555128,2.89465
2048,0.110167,2.92793
3267,0.176136,2.91935
4096,0.219904,2.94207
8192,0.206114,1.37728
16384,0.405226,1.35947
29639,0.731888,2.01889
32768,0.816013,2.09905
65536,1.45532,1.4863
86338,2.23411,1.98451
96731,2.32097,2.17955
131072,2.94862,2.88316
195730,4.13667,3.96349
236608,5.86793,4.81594
243621,5.73072,5.10585
262144,6.41476,5.53649
380031,8.4684,8.20107
419326,10.924,9.13185
524288,12.7292,12.6674
585080,13.5443,13.6911
599227,13.9607,14.6081
654289,12.9368,14.3314
654390,11.2705,14.3632
762630,12.8325,17.06
769255,16.2821,19.6624
769382,15.7176,18.8985
890615,17.3639,20.4528
976314,17.9409,22.219
1048576,18.511,23.536
1221504,21.7421,26.2422
1225344,21.0143,26.9183
1276085,20.2805,28.1142
1399676,22.1648,30.1529
1536633,22.3571,31.5063
1570936,24.5496,31.1921
1677139,21.8515,32.4294
1811709,37.8822,34.3096
1869959,22.8582,35.6258
1912897,22.7298,35.6102
1926230,23.1967,35.5134
2097152,26.5447,38.7614
2200989,23.7221,40.2993
2201065,39.3817,40.8291
2503372,25.5107,39.8072
2510956,28.6783,42.2881
2521260,26.2191,42.1639
2565460,26.1937,43.1042
2566298,24.4271,42.4767
2589906,25.4028,43.4319
2730025,25.3162,44.8719
2969872,50.8966,48.6174
3028283,36.6863,48.7877
3070206,32.7446,49.2526
3270262,30.2759,50.6295
3340944,29.1029,51.2546
3491518,32.4967,53.342
3633007,35.4297,56.2163
3936576,45.4571,57.9259
3987585,61.5717,57.0673
4068097,32.5027,57.1731
4084227,35.5874,59.046
4161637,37.3959,60.1932
4194304,35.3659,60.4344
