Size,Auto_Speedup,AVX_Speedup
1,0.242402,0.512232
2,0.332459,0.774046
3,0.405033,1.03364
4,0.482222,1.31915
7,0.617725,2.1422
8,1.99748,2.35015
9,1.08278,2.03868
15,1.13987,3.29714
16,3.07661,3.86329
17,1.78439,2.89292
23,1.60598,3.85892
25,2.43961,3.37606
31,2.11841,4.31568
32,4.67559,5.22308
33,2.98771,4.31037
63,3.41967,5.94081
64,6.0106,6.76723
65,4.561,5.87736
100,4.93732,6.88548
112,6.68742,7.52537
120,6.70188,7.24273
127,4.7411,7.10615
128,6.77212,7.6044
136,6.6517,7.43139
144,6.79708,7.67142
240,6.99115,7.354
256,7.11562,7.41894
272,7.20912,7.48912
500,3.12925,8.80296
512,7.49555,6.69558
1000,7.83666,6.74124
1024,8.04252,6.98608
2048,8.01731,7.00376
3000,7.99016,6.84637
4096,8.00714,6.96421
7000,7.73091,6.81771
8192,7.68221,6.96129
10000,7.71797,6.89519
16384,7.63992,6.79399
32768,7.60879,2.08932
50000,7.6027,3.45626
65536,7.58817,4.39184
100000,7.58277,6.83458
131072,7.52596,8.48388
262144,6.9461,19.3597
500000,6.65369,32.5137
524288,6.62948,34.1675
1048576,6.59907,66.9458
