Size,Auto_Speedup,AVX_Speedup
1,0.000295142,0.506042
2,0.000441975,0.770517
3,0.000588957,1.03343
4,0.000745179,1.33078
7,0.00118986,2.13354
8,0.00134209,2.36593
9,0.00151389,2.03178
15,0.00238443,3.296
16,0.00254942,3.88847
17,0.00269703,2.88624
23,0.00358934,3.89046
25,0.00387799,3.36492
31,0.00487253,4.27691
32,0.00491067,5.14899
33,0.00502999,4.29768
63,0.00970752,5.95087
64,0.00983233,6.76898
65,0.00998661,5.84908
100,0.0150565,6.95257
112,0.0169128,7.51034
120,0.0179063,7.22004
127,0.0189285,7.06401
128,0.0192457,7.62821
136,0.0205365,7.42877
144,0.0218815,7.71723
240,0.0362103,7.33717
256,0.0387513,7.40884
272,0.0410808,7.48409
500,0.075562,7.7888
512,0.0770223,7.88294
1000,0.151242,8.11995
1024,0.154657,8.1061
2048,0.310014,8.2422
3000,0.444516,8.21146
4096,0.620469,8.29232
7000,0.554384,4.38621
8192,0.628802,4.37486
10000,0.772933,4.36434
16384,1.28166,4.35328
32768,2.42271,2.63073
50000,3.10606,4.0399
65536,4.57515,5.25611
100000,7.4243,8.0839
131072,9.8724,10.5261
262144,16.4175,19.924
500000,38.9527,37.8692
524288,35.6148,40.7232
1048576,51.0053,70.3498
