Threads,Auto,AVX
1,0.0102158,0.010411
2,0.00531577,0.00545622
3,0.0037977,0.00385357
4,0.00293233,0.00300754
5,0.00241659,0.00243739
6,0.00202799,0.00192055
7,0.00169868,0.00176508
8,0.00151529,0.00150041
9,0.00136268,0.00117128
10,0.001075,0.00111566
11,0.00105794,0.0010329
12,0.000882254,0.000884478
13,0.000858952,0.000858169
14,0.000634747,0.000661983
15,0.0005985,0.000622533
16,0.000551103,0.000597911
17,0.000574094,0.000579738
18,0.000567561,0.000579074
19,0.000568842,0.000539149
20,0.000530625,0.000503583
21,0.000475564,0.000455305
22,0.000415358,0.000443825
23,0.000419957,0.000428688
24,0.000409474,0.000423649
25,0.000408043,0.000430241
26,0.000417894,0.000415623
27,0.000393481,0.000390708
28,0.000384207,0.000385065
29,0.00042836,0.000374842
30,0.000402345,0.000372237
31,0.000377506,0.000350641
32,0.000330986,0.000340543
33,0.000348489,0.000321316
34,0.000350276,0.000302598
35,0.000391868,0.00030094
36,0.000371629,0.000281822
37,0.000337451,0.000283212
38,0.000331178,0.000269287
39,0.000283024,0.000265676
40,0.000260737,0.00026312
41,0.000380856,0.000250068
42,0.000252526,0.000248317
43,0.000390687,0.000237292
44,0.000395734,0.00037732
45,0.000395662,0.000369899
46,0.000395272,0.000363156
47,0.000397941,0.000357249
48,0.000388244,0.000357153
49,0.000380593,0.000350323
50,0.000373251,0.000340948
51,0.000372269,0.000342655
52,0.000364794,0.000330846
53,0.000371134,0.000333901
54,0.000353387,0.000333581
55,0.000338841,0.000328361
56,0.000359534,0.00031416
57,0.00034461,0.000314511
58,0.000358735,0.000318772
59,0.000338709,0.000321898
60,0.000375508,0.000321659
61,0.000360992,0.000319175
62,0.000354299,0.000322414
63,0.000343825,0.000315075
64,0.000310581,0.000314269
65,0.000324454,0.000310109
66,0.000323393,0.000306369
67,0.000376905,0.000297364
68,0.000385918,0.000301735
69,0.000394777,0.000297762
70,0.000398673,0.00029271
71,0.000385042,0.00029512
72,0.000355342,0.000291203
73,0.0003124,0.000281089
74,0.000308128,0.000275356
75,0.000279524,0.000269653
76,0.000289826,0.000271717
77,0.000317682,0.00026497
78,0.000279464,0.000263201
79,0.000264174,0.000260188
80,0.000261892,0.000253039
81,0.000276616,0.000255216
82,0.000257168,0.000254715
83,0.000256412,0.000253989
84,0.000251741,0.000249035
85,0.000252302,0.00024266
86,0.000257989,0.000245282
87,0.000249458,0.000239122
88,0.000339222,0.000234283
89,0.000311576,0.000228859
90,0.000342195,0.00023023
91,0.000328595,0.000229696
92,0.000301372,0.00022311
93,0.000222186,0.0002204
94,0.000269292,0.000216934
95,0.000330913,0.0002146
96,0.000321008,0.000211327
