Size,Plain,Auto,AVX
1,8.2e-09,4.995e-08,1.785e-08
2,1.275e-08,5.41e-08,1.785e-08
3,1.8e-08,5.66e-08,1.785e-08
4,2.44e-08,5.99e-08,1.79e-08
7,3.865e-08,6.915e-08,1.79e-08
8,4.38e-08,1.98e-08,1.625e-08
9,4.93e-08,5.77e-08,2.505e-08
15,9.16e-08,7.62e-08,2.49e-08
16,8.7e-08,2.725e-08,2.155e-08
17,9.25e-08,6.085e-08,2.97e-08
23,1.2395e-07,7.965e-08,2.955e-08
25,1.3455e-07,6.44e-08,3.725e-08
31,1.673e-07,8.315e-08,3.715e-08
32,1.74e-07,3.565e-08,3.4e-08
33,1.766e-07,6.805e-08,4.265e-08
63,3.4755e-07,9.95e-08,6.07e-08
64,3.5315e-07,6.005e-08,5.805e-08
65,3.961e-07,9.085e-08,7.295e-08
100,6.0325e-07,1.2185e-07,9.785e-08
112,6.754e-07,1.006e-07,1.027e-07
120,7.228e-07,1.0555e-07,1.1005e-07
127,6.525e-07,1.3255e-07,1.0245e-07
128,6.5685e-07,9.565e-08,9.885e-08
136,6.973e-07,1.029e-07,1.0505e-07
144,7.382e-07,1.079e-07,1.1025e-07
240,1.23045e-06,1.753e-07,1.8345e-07
256,1.31285e-06,1.872e-07,1.9275e-07
272,1.39095e-06,1.942e-07,2.0975e-07
500,2.5586e-06,3.828e-07,3.8885e-07
512,2.61305e-06,3.49e-07,3.9035e-07
1000,5.24035e-06,6.587e-07,7.554e-07
1024,5.37405e-06,6.698e-07,7.6815e-07
2048,1.04217e-05,1.317e-06,1.5035e-06
3000,1.52489e-05,1.90675e-06,2.22895e-06
4096,2.08102e-05,2.59725e-06,2.98625e-06
7000,3.55756e-05,4.595e-06,5.22945e-06
8192,4.1642e-05,5.4141e-06,5.9862e-06
10000,5.09571e-05,6.5872e-06,7.37535e-06
16384,8.33722e-05,1.08923e-05,1.22561e-05
32768,0.000166661,2.19214e-05,7.64149e-05
50000,0.000254475,3.34526e-05,8.45288e-05
65536,0.000333291,4.39048e-05,7.46698e-05
100000,0.000508681,6.70693e-05,7.64073e-05
131072,0.00066662,8.84159e-05,8.07626e-05
262144,0.0013332,0.000187174,7.86188e-05
500000,0.00254199,0.000375559,7.55753e-05
524288,0.00266565,0.000396401,8.05355e-05
1048576,0.00533198,0.000804346,8.35132e-05
