Size,Plain,Auto,AVX
1,1.695e-08,6.51854e-05,3.29e-08
2,2.49e-08,5.78407e-05,3.285e-08
3,3.39e-08,5.87824e-05,3.275e-08
4,4.355e-08,5.9436e-05,3.28e-08
7,7.015e-08,6.05384e-05,3.27e-08
8,7.96e-08,6.07705e-05,3.365e-08
9,8.865e-08,6.09368e-05,4.4e-08
15,1.4435e-07,6.20445e-05,4.385e-08
16,1.529e-07,6.16276e-05,3.98e-08
17,1.636e-07,6.20763e-05,5.645e-08
23,2.208e-07,6.32181e-05,5.655e-08
25,2.3825e-07,6.31175e-05,7.025e-08
31,2.99e-07,6.30589e-05,7.055e-08
32,3.0475e-07,6.32019e-05,5.875e-08
33,3.1625e-07,6.36298e-05,7.365e-08
63,6.1565e-07,6.45555e-05,1.0385e-07
64,6.2835e-07,6.40834e-05,9.225e-08
65,6.378e-07,6.43673e-05,1.085e-07
100,9.7345e-07,6.51002e-05,1.407e-07
112,1.09e-06,6.53978e-05,1.4535e-07
120,1.1677e-06,6.50537e-05,1.606e-07
127,1.2361e-06,6.57419e-05,1.735e-07
128,1.24675e-06,6.49129e-05,1.64e-07
136,1.32e-06,6.49457e-05,1.78e-07
144,1.40585e-06,6.49181e-05,1.8245e-07
240,2.32805e-06,6.52176e-05,3.1765e-07
256,2.4841e-06,6.53094e-05,3.3545e-07
272,2.6369e-06,6.43565e-05,3.526e-07
500,4.8478e-06,6.42567e-05,6.2365e-07
512,4.95195e-06,6.45744e-05,6.2915e-07
1000,9.663e-06,6.43988e-05,1.1921e-06
1024,9.8807e-06,6.43903e-05,1.21795e-06
2048,1.97447e-05,6.44592e-05,2.39685e-06
3000,2.89151e-05,6.42409e-05,3.4935e-06
4096,3.91556e-05,6.49649e-05,4.76125e-06
7000,3.67765e-05,6.45284e-05,8.14605e-06
8192,4.30601e-05,6.4277e-05,9.52195e-06
10000,5.08452e-05,6.47372e-05,1.16526e-05
16384,8.33976e-05,6.97462e-05,1.91616e-05
32768,0.000166639,6.9656e-05,6.11282e-05
50000,0.00025425,6.33361e-05,6.19872e-05
65536,0.000333236,6.94097e-05,6.25646e-05
100000,0.000508465,7.7629e-05,6.48411e-05
131072,0.000666355,6.8616e-05,6.49692e-05
262144,0.00133307,7.09112e-05,6.59795e-05
500000,0.00254257,6.41895e-05,6.69538e-05
524288,0.00266495,7.81236e-05,6.7291e-05
1048576,0.00533284,0.000104683,7.54591e-05
