Size,Auto_Speedup,AVX_Speedup
1,0.588458,0.740721
2,0.617684,0.75
3,0.794105,1
4,0.77137,0.964213
7,0.82926,1.21421
8,1.25,1.29639
9,1.20547,1.20547
15,1.14864,1.63601
16,1.6671,2.03659
17,1.5256,1.84859
23,1.56265,2.20547
25,1.85335,2.23495
31,1.85442,2.61837
32,2.37558,2.79368
33,2.31669,2.79368
63,2.64973,3.87744
64,3.41706,4.68466
65,3.45883,3.95295
100,3.60307,5.10471
112,4.38753,6.63338
120,3.6825,5.65945
127,3.37342,5.38391
128,4.16166,6.2919
136,4.05622,5.47459
144,4.29586,4.93573
240,4.96029,6.09906
256,4.88899,5.82253
272,4.78193,6.11813
500,5.47763,6.77324
512,5.87665,6.94611
1000,6.34656,7.92423
1024,6.56449,7.89161
2048,7.05339,8.5634
3000,7.20457,8.77061
4096,7.26615,8.89883
7000,6.81069,8.93323
8192,7.1198,9.32787
10000,7.59096,9.50219
16384,7.95544,9.97438
32768,7.2467,11.254
50000,7.12332,16.5704
65536,7.14339,21.144
100000,6.95113,24.4567
131072,6.92696,27.2965
262144,6.93197,36.9791
500000,6.91741,34.9291
524288,6.91834,33.3529
1048576,6.79955,32.4924
