Size,Auto_Speedup,AVX_Speedup
1,0.241155,0.457534
2,0.335082,0.701923
3,0.406699,0.930233
4,0.478333,1.17945
7,0.617854,1.92202
8,2.01274,2.19444
9,1.07655,1.9413
15,1.13494,3.131
16,2.63339,3.67788
17,1.78838,2.75042
23,1.63138,3.72297
25,2.44365,3.30561
31,2.12958,4.21463
32,3.97184,4.92289
33,2.78496,4.2016
63,3.30516,5.79372
64,5.11161,6.51896
65,4.02941,5.72372
100,4.35564,6.69914
112,5.4781,7.18356
120,5.57953,7.02228
127,4.25983,6.82514
128,5.41903,7.22903
136,5.43195,7.09347
144,5.55892,7.29762
240,5.69545,7.12496
256,5.72298,7.20113
272,5.63842,7.25017
500,5.39214,6.41339
512,5.79566,6.4704
1000,5.94888,6.57114
1024,6.08713,6.79204
2048,6.04016,6.83769
3000,6.03295,6.67048
4096,6.01148,6.79879
7000,5.80664,6.64809
8192,5.75125,6.7763
10000,5.77218,6.72153
16384,5.73024,6.62339
32768,5.71594,1.94434
50000,5.70296,3.17842
65536,5.69727,4.16626
100000,5.69274,5.92798
131072,5.66977,7.29309
262144,5.46075,17.0207
500000,5.16736,29.6685
524288,5.18061,28.7719
1048576,5.15304,61.532
