Size,Auto_Speedup,AVX_Speedup
1,0.000296403,0.462483
2,0.000438166,0.687158
3,0.000584679,0.924863
4,0.000742611,1.19643
7,0.00119631,1.91814
8,0.00133234,2.19417
9,0.00151243,1.92741
15,0.00239618,3.14301
16,0.00252492,3.64748
17,0.00268002,2.73249
23,0.00360168,3.71778
25,0.00390979,3.36692
31,0.00485251,4.19471
32,0.00486369,4.94051
33,0.00510428,4.20745
63,0.00963005,5.78354
64,0.00974909,6.50883
65,0.00994101,5.73492
100,0.0149146,6.64293
112,0.0167967,7.21433
120,0.0181677,7.06905
127,0.0193699,6.83448
128,0.0193116,7.21468
136,0.0206875,7.16341
144,0.0217539,7.32425
240,0.0366945,7.16106
256,0.0386408,7.21556
272,0.0413903,7.27845
500,0.0757287,7.5806
512,0.0780725,7.67565
1000,0.151873,7.90925
1024,0.155429,7.92968
2048,0.31179,8.02629
3000,0.449743,8.05953
4096,0.612483,8.07586
7000,0.564777,4.39227
8192,0.676517,4.3907
10000,0.80482,4.37893
16384,1.31801,4.36802
32768,2.49579,2.5605
50000,3.62621,3.89642
65536,4.84018,4.84438
100000,7.42791,7.05108
131072,9.77344,9.38468
262144,19.3618,18.8106
500000,36.1515,35.2906
524288,34.4934,37.1112
1048576,50.5962,73.1697
