WorkloadID,WorkloadDescription,SchedulerName,SchedulerType,StaticVariant,NumThreads,ChunkSize,ExecutionTimeMs,BaselineTimeMs,Speedup
0,"Medium Balanced (1-100k)","Sequential",Sequential,N/A,1,N/A,23.8435,23.8435,1.0000
0,"Medium Balanced (1-100k)","Static Block",Static,Block,2,N/A,12.9428,23.8435,1.8422
0,"Medium Balanced (1-100k)","Static Block",Static,Block,3,N/A,8.7886,23.8435,2.7130
0,"Medium Balanced (1-100k)","Static Block",Static,Block,4,N/A,6.6794,23.8435,3.5697
0,"Medium Balanced (1-100k)","Static Block",Static,Block,5,N/A,5.4381,23.8435,4.3845
0,"Medium Balanced (1-100k)","Static Block",Static,Block,6,N/A,4.6196,23.8435,5.1614
0,"Medium Balanced (1-100k)","Static Block",Static,Block,7,N/A,4.3855,23.8435,5.4369
0,"Medium Balanced (1-100k)","Static Block",Static,Block,8,N/A,6.0073,23.8435,3.9691
0,"Medium Balanced (1-100k)","Static Block",Static,Block,9,N/A,3.4544,23.8435,6.9025
0,"Medium Balanced (1-100k)","Static Block",Static,Block,10,N/A,3.8628,23.8435,6.1727
0,"Medium Balanced (1-100k)","Static Block",Static,Block,11,N/A,8.6515,23.8435,2.7560
0,"Medium Balanced (1-100k)","Static Block",Static,Block,12,N/A,8.5317,23.8435,2.7947
0,"Medium Balanced (1-100k)","Static Block",Static,Block,13,N/A,4.0802,23.8435,5.8437
0,"Medium Balanced (1-100k)","Static Block",Static,Block,14,N/A,4.3783,23.8435,5.4459
0,"Medium Balanced (1-100k)","Static Block",Static,Block,15,N/A,4.5521,23.8435,5.2379
0,"Medium Balanced (1-100k)","Static Block",Static,Block,16,N/A,5.8499,23.8435,4.0759
0,"Medium Balanced (1-100k)","Static Block",Static,Block,17,N/A,5.0033,23.8435,4.7655
0,"Medium Balanced (1-100k)","Static Block",Static,Block,18,N/A,5.2671,23.8435,4.5269
0,"Medium Balanced (1-100k)","Static Block",Static,Block,19,N/A,5.7854,23.8435,4.1213
0,"Medium Balanced (1-100k)","Static Block",Static,Block,20,N/A,3.8170,23.8435,6.2467
0,"Medium Balanced (1-100k)","Static Block",Static,Block,21,N/A,3.9090,23.8435,6.0997
0,"Medium Balanced (1-100k)","Static Block",Static,Block,22,N/A,4.3173,23.8435,5.5228
0,"Medium Balanced (1-100k)","Static Block",Static,Block,23,N/A,3.4558,23.8435,6.8995
0,"Medium Balanced (1-100k)","Static Block",Static,Block,24,N/A,5.0117,23.8435,4.7575
0,"Medium Balanced (1-100k)","Static Block",Static,Block,25,N/A,5.5549,23.8435,4.2923
0,"Medium Balanced (1-100k)","Static Block",Static,Block,26,N/A,5.4016,23.8435,4.4142
0,"Medium Balanced (1-100k)","Static Block",Static,Block,27,N/A,4.3922,23.8435,5.4286
0,"Medium Balanced (1-100k)","Static Block",Static,Block,28,N/A,3.6442,23.8435,6.5428
0,"Medium Balanced (1-100k)","Static Block",Static,Block,29,N/A,4.8101,23.8435,4.9570
0,"Medium Balanced (1-100k)","Static Block",Static,Block,30,N/A,3.7077,23.8435,6.4308
0,"Medium Balanced (1-100k)","Static Block",Static,Block,31,N/A,4.2041,23.8435,5.6715
0,"Medium Balanced (1-100k)","Static Block",Static,Block,32,N/A,2.7903,23.8435,8.5450
0,"Medium Balanced (1-100k)","Static Block",Static,Block,33,N/A,2.8318,23.8435,8.4200
0,"Medium Balanced (1-100k)","Static Block",Static,Block,34,N/A,2.2877,23.8435,10.4227
0,"Medium Balanced (1-100k)","Static Block",Static,Block,35,N/A,3.0381,23.8435,7.8482
0,"Medium Balanced (1-100k)","Static Block",Static,Block,36,N/A,3.3227,23.8435,7.1760
0,"Medium Balanced (1-100k)","Static Block",Static,Block,37,N/A,2.7060,23.8435,8.8113
0,"Medium Balanced (1-100k)","Static Block",Static,Block,38,N/A,2.3799,23.8435,10.0187
0,"Medium Balanced (1-100k)","Static Block",Static,Block,39,N/A,2.5008,23.8435,9.5343
0,"Medium Balanced (1-100k)","Static Block",Static,Block,40,N/A,2.8580,23.8435,8.3427
0,"Medium Balanced (1-100k)","Static Block",Static,Block,41,N/A,2.7729,23.8435,8.5986
