Sequential,1,N/A,245.945
Block,1,16,246.284,0.998622
Cyclic,1,16,245.973,0.999884
BlockCyclic,1,16,245.307,1.0026
Block,1,32,246.229,0.998845
Cyclic,1,32,245.884,1.00025
BlockCyclic,1,32,245.606,1.00138
Block,1,64,246.143,0.999193
Cyclic,1,64,245.954,0.999961
BlockCyclic,1,64,245.862,1.00034
Block,1,128,246.268,0.998689
Cyclic,1,128,245.855,1.00037
BlockCyclic,1,128,246.024,0.999678
Block,1,256,246.236,0.998819
Cyclic,1,256,245.881,1.00026
BlockCyclic,1,256,246.028,0.99966
Block,2,16,129.07,1.90552
Cyclic,2,16,143.881,1.70936
BlockCyclic,2,16,131.212,1.8744
Block,2,32,128.572,1.9129
Cyclic,2,32,142.756,1.72283
BlockCyclic,2,32,130.518,1.88437
Block,2,64,129.523,1.89885
Cyclic,2,64,141.577,1.73718
BlockCyclic,2,64,129.907,1.89324
Block,2,128,133.165,1.84691
Cyclic,2,128,142.177,1.72985
BlockCyclic,2,128,129.202,1.90357
Block,2,256,128.793,1.90962
Cyclic,2,256,142.938,1.72064
BlockCyclic,2,256,127.36,1.93109
Block,3,16,89.1101,2.76001
Cyclic,3,16,96.7575,2.54187
BlockCyclic,3,16,94.3348,2.60715
Block,3,32,88.3674,2.78321
Cyclic,3,32,98.0497,2.50837
BlockCyclic,3,32,91.2981,2.69386
Block,3,64,92.5021,2.6588
Cyclic,3,64,97.2569,2.52882
BlockCyclic,3,64,93.5905,2.62788
Block,3,128,88.8618,2.76772
Cyclic,3,128,96.4544,2.54986
BlockCyclic,3,128,94.5106,2.6023
Block,3,256,89.3844,2.75154
Cyclic,3,256,96.9822,2.53598
BlockCyclic,3,256,93.3125,2.63571
Block,4,16,69.3443,3.54672
Cyclic,4,16,79.1299,3.10811
BlockCyclic,4,16,70.3266,3.49718
Block,4,32,68.9046,3.56935
Cyclic,4,32,78.8168,3.12046
BlockCyclic,4,32,69.5807,3.53467
Block,4,64,68.0873,3.6122
Cyclic,4,64,78.8405,3.11952
BlockCyclic,4,64,71.4513,3.44213
Block,4,128,69.9662,3.5152
Cyclic,4,128,79.1498,3.10733
BlockCyclic,4,128,70.8472,3.47148
Block,4,256,70.9964,3.46419
Cyclic,4,256,78.7139,3.12454
BlockCyclic,4,256,70.8209,3.47277
Block,5,16,58.2892,4.21939
Cyclic,5,16,64.6125,3.80646
BlockCyclic,5,16,60.8001,4.04514
Block,5,32,58.3473,4.21519
Cyclic,5,32,64.3993,3.81906
BlockCyclic,5,32,60.3531,4.0751
Block,5,64,57.137,4.30448
Cyclic,5,64,64.3158,3.82402
BlockCyclic,5,64,60.0721,4.09416
Block,5,128,58.1822,4.22715
Cyclic,5,128,64.0232,3.8415
BlockCyclic,5,128,59.5954,4.12691
Block,5,256,56.8724,4.3245
Cyclic,5,256,64.3859,3.81985
BlockCyclic,5,256,59.2733,4.14933
Block,6,16,54.2308,4.53515
Cyclic,6,16,61.0077,4.03137
BlockCyclic,6,16,56.1136,4.38298
