Test_Name,Data_Size,Payload_Size,MPI_Processes,Parallel_Threads,Total_Time_ms,Throughput_MRec_per_sec,Parallel_Speedup,MPI_Efficiency_Percent,Total_Efficiency_Percent
Parallel_Baseline,10000000,16,1,3,1025.63,9.75009,1,100,100
Parallel_Baseline,10000000,16,1,3,1077.64,9.27953,1,100,100
Hybrid_MPI_Parallel,10000000,16,2,3,1323.87,7.55363,0.774723,38.7362,12.9121
Hybrid_MPI_Parallel,10000000,16,4,3,1131.58,8.83721,0.906371,22.6593,7.55309
Parallel_Baseline,20000000,16,1,3,2043.84,9.78549,1,100,100
Parallel_Baseline,20000000,16,1,3,2067.91,9.6716,1,100,100
Hybrid_MPI_Parallel,20000000,16,2,3,2832.33,7.06132,0.72161,36.0805,12.0268
Hybrid_MPI_Parallel,20000000,16,4,3,2288.67,8.73868,0.893024,22.3256,7.44186
Parallel_Baseline,20000000,16,1,3,2090.39,9.56758,1,100,100
Parallel_Baseline,20000000,16,1,3,2089.68,9.57083,1,100,100
Hybrid_MPI_Parallel,20000000,16,2,3,2835.57,7.05326,0.737203,36.8602,12.2867
Parallel_Baseline,5000000,16,1,3,527.628,9.47638,1,100,100
Parallel_Baseline,5000000,16,1,3,529.469,9.44343,1,100,100
Hybrid_MPI_Parallel,5000000,16,2,3,657.692,7.60235,0.802245,40.1123,13.3708
Hybrid_MPI_Parallel,5000000,16,4,3,635.027,7.87368,0.830878,20.7719,6.92398
Parallel_Baseline,10000000,16,1,3,1017.8,9.8251,1,100,100
Parallel_Baseline,10000000,16,1,3,1031.88,9.69108,1,100,100
Hybrid_MPI_Parallel,10000000,16,2,3,1292.34,7.73788,0.787561,39.3781,13.126
Hybrid_MPI_Parallel,10000000,16,4,3,1146.35,8.72336,0.887864,22.1966,7.39886
Parallel_Baseline,10000000,16,1,2,1183.9,8.44666,1,100,100
Parallel_Baseline,10000000,16,1,2,1170.36,8.54437,1,100,100
Hybrid_MPI_Parallel,10000000,16,2,2,1429.4,6.99596,0.828252,41.4126,20.7063
Hybrid_MPI_Parallel,10000000,16,4,2,1248.96,8.00665,0.947908,23.6977,11.8488
Hybrid_MPI_Parallel,10000000,16,6,2,1234.34,8.10148,0.959135,15.9856,7.99279
Parallel_Baseline,20000000,16,1,2,2411.27,8.29437,1,100,100
Parallel_Baseline,20000000,16,1,2,2334.46,8.56728,1,100,100
Hybrid_MPI_Parallel,20000000,16,2,2,2957.26,6.76301,0.815372,40.7686,20.3843
Hybrid_MPI_Parallel,20000000,16,4,2,2878.45,6.94819,0.837698,20.9424,10.4712
Hybrid_MPI_Parallel,20000000,16,6,2,3253.05,6.14808,0.741234,12.3539,6.17695
