implementation,array_size,payload_size,num_threads,execution_time_ms,throughput_mb_per_sec,speedup
std::sort,10000000,64,1,1067.029,715.01,1.000
Sequential,10000000,64,1,2035.997,374.73,1.000
FastFlow,10000000,64,2,608.605,1253.59,1.000
FastFlow,10000000,64,4,403.345,1891.53,1.000
FastFlow,10000000,64,6,435.152,1753.27,1.000
FastFlow,10000000,64,8,420.558,1814.11,1.000
FastFlow,10000000,64,10,416.214,1833.05,1.000
FastFlow,10000000,64,12,393.389,1939.40,1.000
std::sort,100000,64,1,8.318,917.26,1.000
Sequential,100000,64,1,13.797,552.96,1.000
FastFlow,100000,64,8,7.721,988.18,1.000
std::sort,500000,64,1,44.967,848.32,1.000
Sequential,500000,64,1,80.938,471.31,1.000
FastFlow,500000,64,8,25.725,1482.89,1.000
std::sort,1000000,64,1,94.672,805.87,1.000
Sequential,1000000,64,1,171.852,443.95,1.000
FastFlow,1000000,64,8,45.900,1662.19,1.000
std::sort,5000000,64,1,511.335,746.03,1.000
Sequential,5000000,64,1,974.698,391.37,1.000
FastFlow,5000000,64,8,209.275,1822.82,1.000
std::sort,10000000,64,1,1053.844,723.96,1.000
Sequential,10000000,64,1,2051.238,371.94,1.000
FastFlow,10000000,64,8,416.850,1830.25,1.000
std::sort,10000000,8,1,1059.323,216.06,1.000
Sequential,10000000,8,1,2041.289,112.13,1.000
FastFlow,10000000,8,8,459.773,497.81,1.000
std::sort,10000000,16,1,1057.151,288.68,1.000
Sequential,10000000,16,1,2037.039,149.81,1.000
FastFlow,10000000,16,8,421.865,723.40,1.000
std::sort,10000000,32,1,1053.979,434.32,1.000
Sequential,10000000,32,1,2041.777,224.20,1.000
FastFlow,10000000,32,8,396.983,1153.11,1.000
std::sort,10000000,64,1,1045.453,729.77,1.000
Sequential,10000000,64,1,2082.003,366.44,1.000
FastFlow,10000000,64,8,481.093,1585.85,1.000
std::sort,10000000,128,1,1039.258,1321.42,1.000
Sequential,10000000,128,1,2049.192,670.16,1.000
FastFlow,10000000,128,8,405.802,3384.14,1.000
std::sort,10000000,256,1,1056.692,2454.83,1.000
Sequential,10000000,256,1,2038.629,1272.42,1.000
FastFlow,10000000,256,8,465.254,5575.44,1.000
