N,R,T,mean_time_sec,std_dev_time_sec,min_time_sec,max_time_sec
100K,64,1,.09119766000000000000,.00836530521577067144,0.0844389,0.104147
100K,64,2,.06784424000000000000,.00279266626864006075,0.0643798,0.0709574
100K,64,4,.05549638000000000000,.00239450916410858615,0.0536053,0.0594897
100K,64,8,.06323560000000000000,.00149640326616858197,0.0617518,0.0652455
100K,64,12,.07430550000000000000,.00316168989307933234,0.0695634,0.077349
1M,64,1,1.60673000000000000000,.18103878451867710216,1.50076,1.92948
1M,64,2,1.16167200000000000000,.04224493780324454448,1.11423,1.21069
1M,64,4,.90222240000000000000,.01862890993321938845,0.875802,0.925186
1M,64,8,1.00373900000000000000,.00411611528021264244,0.996995,1.00689
1M,64,12,1.12248000000000000000,.02632716182956301881,1.09102,1.15365
